,Platform,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14
928,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
932,Apple,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
934,Android,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
938,Apple,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
945,Android,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
962,Android,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
963,Apple,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
972,Apple,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
975,Apple,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
980,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982,Android,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
985,Android,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
986,Apple,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0
989,Android,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
994,Android,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
996,Android,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
997,Android,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
999,Apple,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0
1001,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1006,Android,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1011,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,Android,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0
1020,Android,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1021,Android,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0
1027,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1028,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,Android,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1030,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1031,Android,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0
1034,Apple,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0
1035,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1044,Android,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1045,Android,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1046,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1054,Android,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0
1058,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1062,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1064,Android,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,Android,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0
1090,Android,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0
1091,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,Apple,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1095,Android,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1096,Android,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1100,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1103,Apple,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1106,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1113,Android,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1122,Apple,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
1128,Apple,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0
1139,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1152,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,Android,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1166,Android,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1167,Apple,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1168,Apple,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1169,Apple,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1170,Android,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
1171,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,Android,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1190,Android,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
1192,Android,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1197,Android,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1201,Android,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1205,Android,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
1206,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1209,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1210,Android,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1213,Android,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1214,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,Android,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1218,Android,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0
1221,Android,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1223,Apple,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1227,Android,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1231,Apple,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
1232,Apple,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1233,Apple,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1237,Apple,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1238,Android,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1245,Apple,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0
1247,Android,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
1248,Android,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0
1253,Android,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1254,Apple,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1255,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1261,Android,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1264,Apple,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
1265,Android,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1270,Android,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,Apple,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0
1282,Android,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0
1285,Android,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
1286,Apple,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1290,Apple,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
1295,Apple,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1298,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,Android,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,Android,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1302,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,Apple,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1309,Apple,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0
1310,Android,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1320,Android,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
1322,Apple,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0
1323,Android,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,Android,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
1326,Apple,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1328,Android,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0
1332,Apple,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1337,Android,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1338,Android,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1341,Apple,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0
1342,Apple,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1350,Apple,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1351,Android,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1353,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1356,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357,Android,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1371,Android,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1375,Apple,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1377,Android,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0
1383,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1384,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1386,Android,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,Apple,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1399,Android,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1401,Android,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0
1404,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,Android,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1412,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1413,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1414,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1415,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1422,Apple,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
1425,Android,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1428,Apple,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0
1431,Apple,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1433,Apple,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0
1439,Android,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,Apple,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1441,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1442,Android,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1443,Android,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0
1445,Android,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0
1446,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1447,Android,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1448,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,Android,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1458,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1474,Android,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1476,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1479,Apple,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0
1484,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1487,Apple,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1488,Android,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0
1490,Android,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1493,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1494,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1496,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1500,Android,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0
1504,Apple,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0
1505,Android,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0
1508,Android,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1509,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1510,Apple,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1514,Apple,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1519,Apple,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1526,Android,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1527,Apple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1532,Apple,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
1534,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1535,Android,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0
1538,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1548,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1552,Android,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1555,Apple,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0
1557,Android,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1559,Android,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1560,Apple,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
1561,Android,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0
1562,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1564,Android,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
1568,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1572,Android,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0
1580,Android,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
1581,Android,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
1582,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1583,Android,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1591,Apple,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0
1594,Android,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0
1595,Android,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1598,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,Apple,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1601,Android,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0
1602,Apple,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1604,Apple,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1605,Apple,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1608,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1612,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1622,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1625,Android,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1629,Android,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1632,Apple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1637,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638,Android,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1655,Android,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
1657,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658,Android,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1665,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668,Apple,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0
1669,Apple,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1670,Android,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0
1672,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1674,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676,Apple,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1682,Android,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1687,Apple,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1688,Android,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
1691,Android,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
1696,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1707,Apple,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1717,Android,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0
1719,Android,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1723,Android,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0
1724,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1725,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1726,Android,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
1728,Android,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1729,Apple,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
1730,Android,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0
1734,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1738,Apple,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1739,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744,Apple,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0
1750,Apple,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1755,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756,Android,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1757,Apple,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1762,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1764,Android,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
1766,Apple,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1768,Apple,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0
1774,Apple,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0
1778,Android,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1780,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1785,Apple,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1789,Android,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
1790,Android,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1793,Apple,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0
1795,Android,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
1798,Apple,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1800,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1802,Android,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1803,Android,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1806,Android,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1808,Android,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1812,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1821,Android,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
1823,Apple,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1825,Android,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
1830,Android,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
1834,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1837,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1838,Apple,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0
1839,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1848,Android,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1850,Apple,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
1857,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1859,Apple,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1862,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1864,Apple,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1872,Android,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0
1877,Apple,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1879,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1883,Android,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0
1887,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1892,Apple,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1894,Android,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0
1896,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1901,Apple,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
1902,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,Android,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1908,Android,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0
1911,Apple,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1912,Android,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1915,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1916,Apple,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1917,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1919,Android,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1920,Android,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1925,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,Apple,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0
1928,Android,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1940,Android,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1941,Android,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0
1942,Apple,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1947,Android,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1951,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1959,Android,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1960,Apple,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1965,Android,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
1967,Android,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
1971,Android,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1974,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Android,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1985,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1987,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1998,Android,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0
2003,Android,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2005,Apple,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2007,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,Android,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2016,Android,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
2018,Apple,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2020,Apple,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2021,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,Apple,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2027,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,Apple,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
2033,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,Android,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0
2038,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,Android,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2048,Android,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2049,Apple,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
2052,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,Apple,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
2058,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2060,Android,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0
2061,Android,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
2067,Apple,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0
2069,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2073,Android,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,Android,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0
2083,Android,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2085,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,Android,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2100,Android,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
2113,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,Apple,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0
2124,Android,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2126,Android,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2132,Apple,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
2137,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2139,Android,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
2142,Android,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2152,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2153,Android,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
2155,Android,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2157,Android,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2158,Apple,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2167,Android,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2168,Android,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2169,Android,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0
2170,Apple,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2174,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2182,Apple,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0
2187,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2195,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2196,Android,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2201,Android,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
2206,Android,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2208,Android,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2211,Android,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2216,Apple,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2220,Android,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2225,Apple,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
2228,Android,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2229,Android,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
