,Platform,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14
161,Apple,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
162,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Android,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
164,Android,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
165,Apple,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
167,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Apple,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
174,Apple,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0
176,Android,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
177,Apple,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0
178,Apple,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
179,Apple,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
186,Apple,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
187,Android,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
189,Apple,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
192,Android,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
193,Android,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0
194,Android,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
199,Apple,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0
202,Apple,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
203,Apple,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0
205,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
208,Android,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
210,Apple,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
211,Android,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Apple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
214,Apple,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
215,Android,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
216,Android,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
218,Apple,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
220,Apple,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0
222,Apple,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Android,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0
234,Android,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
240,Android,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0
242,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Apple,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
270,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Android,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
273,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
279,Apple,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0
281,Apple,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
284,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Android,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
294,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Apple,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
299,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Apple,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
301,Apple,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
304,Android,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
306,Apple,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0
309,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
310,Android,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
312,Android,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0
314,Apple,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0
318,Android,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
319,Apple,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0
321,Apple,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0
327,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,Android,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
330,Android,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
331,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
335,Android,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
338,Android,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0
339,Android,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
340,Android,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0
346,Android,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0
348,Apple,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0
352,Android,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
355,Apple,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0
356,Apple,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
359,Android,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
362,Android,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
363,Apple,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0
364,Apple,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0
370,Apple,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
371,Apple,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0
374,Android,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0
375,Android,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
379,Android,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
